Word,Count,Senses,Definition,Example 1,Example 2,Example 3,Example 4
arbitrary,9,,based on or subject to individual discretion or preference or sometimes impulse or caprice,an arbitrary decision,the arbitrary rule of a dictator,an arbitrary penalty,of arbitrary size and shape
arcadian,8,,(used with regard to idealized country life) idyllically rustic,a country life of arcadian contentment,a pleasant bucolic scene,charming in its pastoral setting,rustic tranquility
arctic,6,,extremely cold,an arctic climate,a frigid day,gelid waters of the North Atlantic,glacial winds
ardent,6,,characterized by intense emotion,ardent love,an ardent lover,a fervent desire to change society,a fervent admirer
arduous,7,,characterized by effort to the point of exhaustion,especially physical effort,worked their arduous way up the mining valley,a grueling campaign,hard labor
arduous,7,straining,taxing to the utmost,testing powers of endurance,"his final, straining burst of speed",a strenuous task,your willingness after these six arduous days to remain here- F.D.Roosevelt
argus-eyed,10,,carefully observant or attentive,on the lookout for possible danger,a policy of open-eyed awareness,the vigilant eye of the town watch,there was a watchful dignity in the room
arid,4,,lacking vitality or spirit,lifeless,a technically perfect but arid performance of the sonata,a desiccate romance,a prissy and emotionless creature...settles into a mold of desiccated snobbery-C.J.Rolo
aristocratic,12,aristocratical,belonging to or characteristic of the nobility or aristocracy,an aristocratic family,aristocratic Bostonians,aristocratic government,a blue family
arrant(a),9,,without qualification,used informally as (often pejorative) intensifiers,an arrant fool,a complete coward,a consummate fool
artificial,10,,artificially formal,that artificial humility that her husband hated,contrived coyness,a stilted letter of acknowledgment,when people try to correct their speech they develop a stilted pronunciation
artificial,10,,contrived by art rather than nature,artificial flowers,artificial flavoring,an artificial diamond,artificial fibers
ascertained,11,,discovered or determined by scientific observation,variation in the ascertained flux depends on a number of factors,the discovered behavior norms,discovered differences in achievement,no explanation for the observed phenomena
ascetic,7,,practicing great self-denial,Be systematically ascetic...do...something for no other reason than that you would rather not do it- William James,a desert nomad's austere life,a spartan diet,a spartan existence
ashen,5,,anemic looking from illness or emotion,a face turned ashen,the invalid's blanched cheeks,tried to speak with bloodless lips,a face livid with shock
assimilating,12,assimilative|assimilatory|,capable of taking (gas light or liquids) into a solution,,,,
assorted,8,,consisting of a haphazard assortment of different kinds,an arrangement of assorted spring flowers,assorted sizes,miscellaneous accessories,a mixed program of baroque and contemporary music
assorted,8,,of many different kinds purposefully arranged but lacking any uniformity,assorted sizes,his disguises are many and various,various experiments have failed to disprove the theory,cited various reasons for his behavior
assumed,7,,adopted in order to deceive,an assumed name,an assumed cheerfulness,a fictitious address,fictive sympathy
astonishing,11,,so surprisingly impressive as to stun or overwhelm,such an enormous response was astonishing,an astounding achievement,the amount of money required was staggering,suffered a staggering defeat
at hand(p),10,close at hand(p)|imminent|,close in time,about to occur,retribution is at hand,some people believe the day of judgment is close at hand,in imminent danger
at large(p),11,,having escaped especially from confinement,a convict still at large,searching for two escaped prisoners,dogs loose on the streets,criminals on the loose in the neighborhood
atrocious,9,,provoking horror,an atrocious automobile accident,a frightful crime of decapitation,"an alarming, even horrifying, picture",war is beyond all words horrible- Winston Churchill
